Month,Bedtime,Time Asleep,Light,Deep,REM,Awake
2/1/2023,5:41,6:54:00,1:36:00,0:28:00,1:02:00,0:30:00
3/1/2023,7:31,6:19:00,1:45:00,0:41:00,0:24:00,0:15:00
4/1/2023,2:46,6:28:00,3:41:00,1:01:00,1:31:00,0:59:00
5/1/2023,6:53,6:45:00,3:48:00,1:09:00,1:19:00,1:00:00
6/1/2023,3:05,7:16:00,4:02:00,1:15:00,1:41:00,1:07:00
7/1/2023,4:45,6:59:00,4:05:00,1:08:00,1:27:00,1:05:00
8/1/2023,5:22,7:03:00,4:07:00,1:16:00,1:31:00,1:04:00
9/1/2023,6:06,6:58:00,4:06:00,1:10:00,1:27:00,1:04:00
10/1/2023,7:19,6:19:00,3:58:00,1:05:00,1:31:00,0:52:00
11/1/2023,6:08,6:31:00,3:46:00,1:13:00,1:25:00,1:00:00